Learner Combination,MI
XGB,0.0151
"XGB, NB",0.0085
"XGB, KNN",0.0084
"XGB, LR",0.0245
"XGB, PLS",0.0274
"XGB, SVM",0.0311
"XGB, MLP",0.0304
"XGB, DT",0.0076
"XGB, RF",0.0080
"XGB, ET",0.0076
"XGB, SVM, NB",0.0211
"XGB, SVM, KNN",0.0210
"XGB, SVM, LR",0.0321
"XGB, SVM, PLS",0.0340
"XGB, SVM, MLP",0.0360
"XGB, SVM, DT",0.0207
"XGB, SVM, RF",0.0208
"XGB, SVM, ET",0.0213
"XGB, SVM, ET, NB",0.0161
"XGB, SVM, ET, KNN",0.0161
"XGB, SVM, ET, LR",0.0247
"XGB, SVM, ET, PLS",0.0263
"XGB, SVM, ET, MLP",0.0278
"XGB, SVM, ET, DT",0.0161
"XGB, SVM, ET, RF",0.0159
